City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,antalaha,-14.9003,50.2788,19.57,91,64,3.41,MG,1724889645
331,tabou,4.423,-7.3528,23.76,90,100,4.62,CI,1724889224
332,naze,28.3667,129.4833,28.51,86,99,7.35,JP,1724889647
333,ambon,-3.6954,128.1814,26.6,95,40,1.03,ID,1724889648
334,waddan,29.1614,16.139,29.01,45,4,7.76,LY,1724889649
335,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,43,0,6.0,RU,1724889650
336,saint-imier,47.1528,6.9969,17.16,83,0,0.0,CH,1724889651
337,tyukhtet,56.5389,89.3011,11.54,93,96,2.28,RU,1724889653
338,kristiansund,63.1115,7.732,17.36,77,100,3.09,NO,1724889654
339,clearwater,27.9659,-82.8001,25.99,90,0,0.0,US,1724889591
340,nar'yan-mar,67.6713,53.087,7.43,91,77,5.71,RU,1724889656
341,sumbawa besar,-8.5,117.4333,27.94,55,100,1.71,ID,1724889657
342,ponta delgada,37.7333,-25.6667,23.4,68,20,4.12,PT,1724889067
343,ixtapa,20.7,-105.2,30.68,79,92,0.89,MX,1724889659
344,hamilton,39.1834,-84.5333,27.91,74,75,1.34,US,1724889197
345,muravlenko,63.7898,74.523,13.36,84,100,3.8,RU,1724889414
346,christchurch,-43.5333,172.6333,19.11,32,28,7.72,NZ,1724889599
347,sorochinsk,52.4338,53.1583,18.04,58,8,2.24,RU,1724889664
348,guatire,10.4762,-66.5427,23.72,95,60,0.81,VE,1724889665
349,grand-bassam,5.2118,-3.7388,23.98,95,53,2.46,CI,1724889666
350,callao,-12.0667,-77.15,18.18,82,75,4.12,PE,1724889107
351,mangrol,21.1167,70.1167,26.89,88,100,11.03,IN,1724889668
352,plymouth,41.8334,-70.8328,26.86,78,20,0.0,US,1724889458
353,champerico,14.3,-91.9167,28.04,79,82,2.15,GT,1724889192
354,araguari,-18.6472,-48.1872,23.16,41,2,2.39,BR,1724889618
355,vanino,49.0869,140.2543,21.99,68,90,1.8,RU,1724889673
356,illela,13.7292,5.2975,27.41,71,93,3.62,NG,1724889674
357,bairnsdale,-37.8333,147.6167,16.14,51,36,1.79,AU,1724889675
358,shahritus,37.2637,68.1385,22.4,29,25,1.84,TJ,1724889676
359,antsiranana,-12.2787,49.2917,22.11,78,20,7.91,MG,1724889677
360,ebaye,8.7748,167.7392,30.01,74,40,2.57,MH,1724889678
361,dien bien phu,21.3833,103.0167,23.47,93,41,0.27,VN,1724889680
362,kuta,-8.7233,115.1723,24.97,94,40,1.03,ID,1724889681
363,sooke,48.3746,-123.7276,19.99,69,18,5.14,CA,1724889683
